study_accession,paper_id,pmid,pmcid,doi,title
PRJNA475246,33960282,33960282.0,PMC8115609,10.1080/19490976.2021.1911571,Metagenomic analysis of mother-infant gut microbiome reveals global distinct and shared microbial signatures.
PRJNA473126,34064844,34064844.0,PMC8151561,10.3390/microorganisms9051034,A Machine Learning Approach to Study Glycosidase Activities from <i>Bifidobacterium</i>.
PRJEB12669,34152069,34152069.0,PMC8518733,10.1111/1758-2229.12960,Investigating the infant gut microbiota in developing countries: worldwide metagenomic meta-analysis involving infants living in sub-urban areas of Côte d'Ivoire.
PRJEB24771,34152069,34152069.0,PMC8518733,10.1111/1758-2229.12960,Investigating the infant gut microbiota in developing countries: worldwide metagenomic meta-analysis involving infants living in sub-urban areas of Côte d'Ivoire.
PRJEB32135,34152069,34152069.0,PMC8518733,10.1111/1758-2229.12960,Investigating the infant gut microbiota in developing countries: worldwide metagenomic meta-analysis involving infants living in sub-urban areas of Côte d'Ivoire.
PRJEB6456,34152069,34152069.0,PMC8518733,10.1111/1758-2229.12960,Investigating the infant gut microbiota in developing countries: worldwide metagenomic meta-analysis involving infants living in sub-urban areas of Côte d'Ivoire.
PRJNA287207,34152069,34152069.0,PMC8518733,10.1111/1758-2229.12960,Investigating the infant gut microbiota in developing countries: worldwide metagenomic meta-analysis involving infants living in sub-urban areas of Côte d'Ivoire.
PRJNA290380,34152069,34152069.0,PMC8518733,10.1111/1758-2229.12960,Investigating the infant gut microbiota in developing countries: worldwide metagenomic meta-analysis involving infants living in sub-urban areas of Côte d'Ivoire.
PRJNA322188,34152069,34152069.0,PMC8518733,10.1111/1758-2229.12960,Investigating the infant gut microbiota in developing countries: worldwide metagenomic meta-analysis involving infants living in sub-urban areas of Côte d'Ivoire.
PRJNA339914,34152069,34152069.0,PMC8518733,10.1111/1758-2229.12960,Investigating the infant gut microbiota in developing countries: worldwide metagenomic meta-analysis involving infants living in sub-urban areas of Côte d'Ivoire.
PRJNA345144,34152069,34152069.0,PMC8518733,10.1111/1758-2229.12960,Investigating the infant gut microbiota in developing countries: worldwide metagenomic meta-analysis involving infants living in sub-urban areas of Côte d'Ivoire.
PRJNA352475,34152069,34152069.0,PMC8518733,10.1111/1758-2229.12960,Investigating the infant gut microbiota in developing countries: worldwide metagenomic meta-analysis involving infants living in sub-urban areas of Côte d'Ivoire.
PRJNA473126,34152069,34152069.0,PMC8518733,10.1111/1758-2229.12960,Investigating the infant gut microbiota in developing countries: worldwide metagenomic meta-analysis involving infants living in sub-urban areas of Côte d'Ivoire.
PRJNA475246,34152069,34152069.0,PMC8518733,10.1111/1758-2229.12960,Investigating the infant gut microbiota in developing countries: worldwide metagenomic meta-analysis involving infants living in sub-urban areas of Côte d'Ivoire.
PRJNA524703,34152069,34152069.0,PMC8518733,10.1111/1758-2229.12960,Investigating the infant gut microbiota in developing countries: worldwide metagenomic meta-analysis involving infants living in sub-urban areas of Côte d'Ivoire.
PRJNA549787,34152069,34152069.0,PMC8518733,10.1111/1758-2229.12960,Investigating the infant gut microbiota in developing countries: worldwide metagenomic meta-analysis involving infants living in sub-urban areas of Côte d'Ivoire.
PRJNA557731,34152069,34152069.0,PMC8518733,10.1111/1758-2229.12960,Investigating the infant gut microbiota in developing countries: worldwide metagenomic meta-analysis involving infants living in sub-urban areas of Côte d'Ivoire.
PRJNA715615,34152069,34152069.0,PMC8518733,10.1111/1758-2229.12960,Investigating the infant gut microbiota in developing countries: worldwide metagenomic meta-analysis involving infants living in sub-urban areas of Côte d'Ivoire.
PRJNA717139,34154658,34154658.0,PMC8215838,10.1186/s40168-021-01085-y,"Genetic and behavioral adaptation of Candida parapsilosis to the microbiome of hospitalized infants revealed by in situ genomics, transcriptomics, and proteomics."
PRJNA726032,34172012,34172012.0,PMC8229302,10.1186/s12866-021-02230-1,A synbiotic intervention modulates meta-omics signatures of gut redox potential and acidity in elective caesarean born infants.
PRJNA701480,34186487,34186487.0,PMC8254083,10.1016/j.ebiom.2021.103443,Oral administration of maternal vaginal microbes at birth to restore gut microbiome development in infants born by caesarean section: A pilot randomised placebo-controlled trial.
PRJNA296814,34215179,34215179.0,PMC8252198,10.1186/s12866-021-02129-x,The infant gut resistome is associated with E. coli and early-life exposures.
PRJNA486782,34253606,34253606.0,PMC8307711,10.1073/pnas.2020322118,Microbiome signatures of progression toward celiac disease onset in at-risk children in a longitudinal prospective cohort study.
PRJNA730640,34262484,34262484.0,PMC8273867,10.3389/fphys.2021.704313,Characteristics of Gut Microbiota in Children With Biliary Atresia After Liver Transplantation.
PRJNA301903,34264786,34264786.0,PMC8284144,10.1080/19490976.2021.1940792,Antibiotic-driven intestinal dysbiosis in pediatric short bowel syndrome is associated with persistently altered microbiome functions and gut-derived bloodstream infections.
PRJNA473126,34264786,34264786.0,PMC8284144,10.1080/19490976.2021.1940792,Antibiotic-driven intestinal dysbiosis in pediatric short bowel syndrome is associated with persistently altered microbiome functions and gut-derived bloodstream infections.
PRJNA489090,34264786,34264786.0,PMC8284144,10.1080/19490976.2021.1940792,Antibiotic-driven intestinal dysbiosis in pediatric short bowel syndrome is associated with persistently altered microbiome functions and gut-derived bloodstream infections.
PRJNA701982,34264786,34264786.0,PMC8284144,10.1080/19490976.2021.1940792,Antibiotic-driven intestinal dysbiosis in pediatric short bowel syndrome is associated with persistently altered microbiome functions and gut-derived bloodstream infections.
PRJNA60717,34294039,34294039.0,PMC8296540,10.1186/s12859-021-04284-4,METAMVGL: a multi-view graph-based metagenomic contig binning algorithm by integrating assembly and paired-end graphs.
PRJNA695570,34335499,34335499.0,PMC8320171,10.3389/fmicb.2021.670336,Comparative Analysis of 16S rRNA Gene and Metagenome Sequencing in Pediatric Gut Microbiomes.
PRJNA352475,34429130,34429130.0,PMC8383385,10.1186/s13059-021-02463-3,Deterministic transition of enterotypes shapes the infant gut microbiome at an early age.
PRJNA379120,34429130,34429130.0,PMC8383385,10.1186/s13059-021-02463-3,Deterministic transition of enterotypes shapes the infant gut microbiome at an early age.
PRJNA473126,34429130,34429130.0,PMC8383385,10.1186/s13059-021-02463-3,Deterministic transition of enterotypes shapes the infant gut microbiome at an early age.
PRJNA489090,34429130,34429130.0,PMC8383385,10.1186/s13059-021-02463-3,Deterministic transition of enterotypes shapes the infant gut microbiome at an early age.
PRJNA497734,34429130,34429130.0,PMC8383385,10.1186/s13059-021-02463-3,Deterministic transition of enterotypes shapes the infant gut microbiome at an early age.
PRJNA555020,34429130,34429130.0,PMC8383385,10.1186/s13059-021-02463-3,Deterministic transition of enterotypes shapes the infant gut microbiome at an early age.
